date,open,high,low,close,volume,average,barCount
2025-10-21 04:00:00-04:00,443.18,445.74,442.5,443.4,16224.0,443.711,103
2025-10-21 04:01:00-04:00,443.4,443.5,443.12,443.37,1791.0,443.364,11
2025-10-21 04:02:00-04:00,443.31,443.36,442.72,442.72,1835.0,443.027,16
2025-10-21 04:03:00-04:00,443.0,443.52,443.0,443.4,5865.0,443.332,26
2025-10-21 04:04:00-04:00,443.4,443.49,443.0,443.36,2687.0,443.25,18
2025-10-21 04:05:00-04:00,443.42,443.42,443.22,443.22,1066.0,443.316,7
2025-10-21 04:06:00-04:00,443.26,443.3,443.21,443.3,449.0,443.255,4
2025-10-21 04:07:00-04:00,443.21,443.21,442.93,443.06,4156.0,443.106,23
2025-10-21 04:08:00-04:00,443.13,443.19,442.62,442.62,2980.0,442.95,22
2025-10-21 04:09:00-04:00,443.05,443.24,443.05,443.19,1551.0,443.125,12
2025-10-21 04:10:00-04:00,443.09,443.11,443.0,443.11,2319.0,443.062,12
2025-10-21 04:11:00-04:00,443.04,443.04,442.8,442.9,1459.0,442.918,10
2025-10-21 04:12:00-04:00,442.74,442.92,442.74,442.92,300.0,442.8,3
2025-10-21 04:13:00-04:00,443.0,443.02,442.94,443.01,1432.0,442.98,10
2025-10-21 04:14:00-04:00,442.89,443.01,442.8,442.81,3006.0,442.842,19
2025-10-21 04:15:00-04:00,442.8,442.84,442.65,442.67,1962.0,442.766,7
2025-10-21 04:16:00-04:00,442.71,443.1,442.71,443.02,4631.0,442.852,27
2025-10-21 04:17:00-04:00,442.96,442.96,442.95,442.95,245.0,442.954,2
2025-10-21 04:18:00-04:00,442.86,443.11,442.85,443.11,1072.0,442.974,10
2025-10-21 04:19:00-04:00,443.02,443.16,442.8,443.06,1618.0,442.974,11
2025-10-21 04:20:00-04:00,443.06,443.06,443.06,443.06,0.0,443.06,0
2025-10-21 04:21:00-04:00,442.87,443.08,442.87,443.08,770.0,443.024,7
2025-10-21 04:22:00-04:00,443.04,443.13,443.04,443.1,1497.0,443.096,11
